title,abstract,paragraph,date,web_url,text,text_clean,clusters
The 2023 Good Tech Awards,Toasting a year of breakthroughs (and a few breakdowns) in Silicon Valley and beyond.,"In the tech industry, 2023 was a year of transformation.",2023-12-25T10:01:43+0000,https://www.nytimes.com/2023/12/25/technology/the-2023-good-tech-awards.html,The 2023 Good Tech Awards Toasting a year of breakthroughs (and a few breakdowns) in Silicon Valley and beyond., good tech award toasting year breakthrough breakdown silicon valley beyond,3
"Our 2024 Predictions, and Jenny Slate Answers Your Hard Questions","Plus, a very special “Hard Fork” holiday surprise.","Last year, we predicted what 2023 in tech would look like. This week, we take a look back at those predictions, see what we got right and wrong, and make new ones for 2024.",2023-12-22T10:30:02+0000,https://www.nytimes.com/2023/12/22/podcasts/hard-fork-predictions-jenny-slate.html,"Our 2024 Predictions, and Jenny Slate Answers Your Hard Questions Plus, a very special “Hard Fork” holiday surprise.", prediction jenny slate answer hard question plus special hard fork holiday surprise,0
8 Stunning New Images From Neuroscience,New technology is yielding extraordinary new levels of detail in brain imaging,New technology is yielding extraordinary new levels of detail in brain imaging,2023-12-22T10:03:32+0000,https://www.nytimes.com/interactive/2023/12/22/health/neuroscience-brain-images.html,8 Stunning New Images From Neuroscience New technology is yielding extraordinary new levels of detail in brain imaging, stunning new image neuroscience new technology yielding extraordinary new level detail brain imaging,4
"Google’s Epic Loss, Silicon Valley’s Curious New Subculture and How 2023 Changed the Internet",Looks like Google is on the naughty list this year.,"A jury decided the Google Play store unfairly stifles competition and maintains a monopoly. Kevin and Casey discuss how the ruling could reshape the digital economy. Then, a growing movement of developers and enthusiasts of artificial intelligence want the technology developed as quickly as possible, even if it has negative consequences for humanity. And, finally, why the internet of the future could look totally different.",2023-12-15T10:08:28+0000,https://www.nytimes.com/2023/12/15/podcasts/hard-fork-google-epic.html,"Google’s Epic Loss, Silicon Valley’s Curious New Subculture and How 2023 Changed the Internet Looks like Google is on the naughty list this year.",google epic loss silicon valley curious new subculture  changed internet look like google naughty list year,3
Political Debate Is Rife on TikTok. Politicians? Not So Much.,"Very few politicians, including the top candidates for president, are on the hugely popular video app — perhaps ceding much of the political discussion to others.","President Biden and the White House regularly post to millions of followers on social media, talking about the economy on Facebook, sharing Christmas decorations on YouTube, showcasing pardoned turkeys on Instagram, posting about infrastructure on the X platform. They’re even on Threads.",2023-12-13T10:00:29+0000,https://www.nytimes.com/2023/12/13/business/media/tiktok-politicians.html,"Political Debate Is Rife on TikTok. Politicians? Not So Much. Very few politicians, including the top candidates for president, are on the hugely popular video app — perhaps ceding much of the political discussion to others.",political debate rife tiktok politician much politician including top candidate president hugely popular video app perhaps ceding much political discussion others,4
Judge Upholds Texas TikTok Ban on Government Devices,The Texas law was challenged by First Amendment lawyers who filed a suit on behalf of college professors who said that their work had been compromised when they lost access to the app.,"A federal judge in Texas on Monday upheld a ban that prevented state employees from using TikTok, the Chinese-owned short-form video app, on government devices and networks, rejecting a challenge by lawyers who argued that the prohibition had violated the First Amendment.",2023-12-12T02:54:03+0000,https://www.nytimes.com/2023/12/11/business/tiktok-texas-ban.html,Judge Upholds Texas TikTok Ban on Government Devices The Texas law was challenged by First Amendment lawyers who filed a suit on behalf of college professors who said that their work had been compromised when they lost access to the app.,judge upholds texas tiktok ban government device texas law challenged first amendment lawyer filed suit behalf college professor said work compromised lost access app,0
"Google’s Next Top Model, Will the Cybertruck Crash? and This Week in A.I.","Like the Cybertruck, this podcast is bulletproof.",Warning: this episode contains strong language.,2023-12-08T10:03:58+0000,https://www.nytimes.com/2023/12/08/podcasts/hardfork-google-gemini-cybertruck.html,"Google’s Next Top Model, Will the Cybertruck Crash? and This Week in A.I. Like the Cybertruck, this podcast is bulletproof.",google next top model cybertruck crash week like cybertruck podcast bulletproof,3
Five Ways A.I. Could Be Regulated,There is little agreement among regulators and lawmakers around the world on how artificial intelligence should — or even could — be controlled.,"Though their attempts to keep up with developments in artificial intelligence have mostly fallen short, regulators around the world are taking vastly different approaches to policing the technology. The result is a highly fragmented and confusing global regulatory landscape for a borderless technology that promises to transform job markets, contribute to the spread of disinformation or even present a risk to humanity.",2023-12-06T18:58:54+0000,https://www.nytimes.com/2023/12/06/technology/artificial-intelligence-regulation.html,Five Ways A.I. Could Be Regulated There is little agreement among regulators and lawmakers around the world on how artificial intelligence should — or even could — be controlled.,five way could regulated little agreement among regulator lawmaker around world artificial intelligence even could controlled,1
Google Updates Bard Chatbot With ‘Gemini’ A.I. as It Chases ChatGPT,"After more than eight months of research and development, Google has unveiled its most powerful A.I. so far. But only parts of it are widely available.","For more than a year, Google has raced to build technology that could match ChatGPT, the eye-opening chatbot offered by the San Francisco artificial intelligence start-up OpenAI.",2023-12-06T15:00:17+0000,https://www.nytimes.com/2023/12/06/technology/google-ai-bard-chatbot-gemini.html,"Google Updates Bard Chatbot With ‘Gemini’ A.I. as It Chases ChatGPT After more than eight months of research and development, Google has unveiled its most powerful A.I. so far. But only parts of it are widely available.",google update bard chatbot gemini chase chatgpt eight month research development google unveiled powerful far part widely available,3
NASA’s Moon Race Is Running Late,"It's been more than 50 years since NASA astronauts walked on the moon, and a new report suggests they'll need to wait even longer.","It's been more than 50 years since NASA astronauts walked on the moon, and a new report suggests they'll need to wait even longer.",2023-12-06T17:35:08+0000,https://www.nytimes.com/interactive/2023/12/06/science/nasa-moon-landing-artemis-delay.html,"NASA’s Moon Race Is Running Late It's been more than 50 years since NASA astronauts walked on the moon, and a new report suggests they'll need to wait even longer.",nasa moon race running late  year since nasa astronaut walked moon new report suggests need wait even longer,1
Inside the A.I. Arms Race That Changed Silicon Valley Forever,ChatGPT’s release a year ago triggered a desperate scramble among tech companies and alarm from some of the people who helped invent it.,"At 1 p.m. on a Friday shortly before Christmas last year, Kent Walker, Google’s top lawyer, summoned four of his employees and ruined their weekend.",2023-12-05T08:00:42+0000,https://www.nytimes.com/2023/12/05/technology/ai-chatgpt-google-meta.html,Inside the A.I. Arms Race That Changed Silicon Valley Forever ChatGPT’s release a year ago triggered a desperate scramble among tech companies and alarm from some of the people who helped invent it.,inside arm race changed silicon valley forever chatgpt release year ago triggered desperate scramble among tech company alarm people helped invent,3
